date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:14	5589/5589	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215d5-65ec98ae-4edaefef068ba8fe;gz%22	https://boostmania.cc/feedback.js	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/feedback.js	(from https://boostmania.cc/)
21:56:14	288580/288580	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-46744%22	https://code.jquery.com/jquery-3.6.0.js	C:/Users/SaifMElabd/Desktop/boostmania/code.jquery.com/jquery-3.6.0.js	(from https://boostmania.cc/)
21:56:14	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Users/SaifMElabd/Desktop/boostmania/unpkg.com/aos@2.3.1/dist/aos.js	(from https://boostmania.cc/)
21:56:15	23106/23106	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a42-7l/79z0w4WZtVmX0i+4CEoXPrc0%22	https://cdn.jsdelivr.net/npm/particles.js@2.0.0/particles.min.js	C:/Users/SaifMElabd/Desktop/boostmania/cdn.jsdelivr.net/npm/particles.js@2.0.0/particles.min.js	(from https://boostmania.cc/)
21:56:16	302/302	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212e-65e88527-ca8162aff2c3e781;gz%22	https://boostmania.cc/javascript/nav-color.js	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/javascript/nav-color.js	(from https://boostmania.cc/)
21:56:16	1344/1344	---M-Z	200	added ('OK')	application/x-javascript	etag:%22540-65e88527-88262328abf1088c;gz%22	https://boostmania.cc/javascript/script.js	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/javascript/script.js	(from https://boostmania.cc/)
21:56:17	0/-1	---M--	302	error ('')			https://i.imgur.com/15sIYSD.gif	C:/Users/SaifMElabd/Desktop/boostmania/i.imgur.com/15sIYSD.1b.delayed	(from https://boostmania.cc/index.html)
21:56:19	262627/262627	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2018:56:19%20GMT	https://boostmania.cc/getProducts.php	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/getProducts.html	(from https://boostmania.cc/script.js)
21:56:22	28405/28405	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2018:56:22%20GMT	https://boostmania.cc/getGroups.php	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/getGroups.html	(from https://boostmania.cc/group.js)
21:56:22	569/569	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Aug%202024%2018:56:22%20GMT	https://boostmania.cc/img/star.png	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/img/star.png	(from https://boostmania.cc/feedback.js)
21:56:23	659/659	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Aug%202024%2018:56:23%20GMT	https://boostmania.cc/img/star2.png	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/img/star2.png	(from https://boostmania.cc/feedback.js)
21:56:23	670/670	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Aug%202024%2018:56:24%20GMT	https://boostmania.cc/img/star3.png	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/img/star3.png	(from https://boostmania.cc/feedback.js)
21:56:24	703/703	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Aug%202024%2018:56:24%20GMT	https://boostmania.cc/img/star4.png	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/img/star4.png	(from https://boostmania.cc/feedback.js)
21:56:25	711/711	---M--	200	added ('OK')	image/png	date:Mon,%2019%20Aug%202024%2018:56:25%20GMT	https://boostmania.cc/img/star5.png	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/img/star5.png	(from https://boostmania.cc/feedback.js)
21:56:27	323853/323853	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2018:56:26%20GMT	https://boostmania.cc/getFeedback.php	C:/Users/SaifMElabd/Desktop/boostmania/boostmania.cc/getFeedback.html	(from https://boostmania.cc/feedback.js)
